rank,score,category,can_id,dlc,byte,bit_in_byte,closed_value,open_value,stable_purity,action_hits,unrelated_transitions,median_delay_s
260,33.800,瞬时请求候选,0x2C4,8,4,4,0,0,0.9000,6,71,0.153950
261,33.800,瞬时请求候选,0x2C4,8,7,6,0,0,0.9550,6,71,0.654300
262,33.800,瞬时请求候选,0x2C4,8,7,7,0,0,0.9025,6,71,0.202800
263,33.800,瞬时请求候选,0x2E3,7,5,5,0,0,0.9000,6,71,0.336700
264,33.800,瞬时请求候选,0x709,8,1,7,0,0,0.6689,6,71,0.674800
265,33.800,瞬时请求候选,0x752,8,3,7,0,0,0.7250,5,31,0.095100
266,33.600,瞬时请求候选,0x2C4,8,7,2,0,0,0.9050,6,72,0.403650
267,33.600,瞬时请求候选,0x324,8,0,1,不一致,1,0.7000,5,32,-0.155200
268,33.600,瞬时请求候选,0x34A,8,2,1,0,0,0.7500,6,72,-0.169300
269,33.600,瞬时请求候选,0x34A,8,3,5,0,0,0.7500,6,72,-0.169300
270,33.600,瞬时请求候选,0x3DD,8,5,5,0,0,0.7750,5,32,0.589600
271,33.600,瞬时请求候选,0x52F,8,5,4,不一致,1,0.5250,6,72,0.371850
272,33.600,瞬时请求候选,0x752,8,6,1,0,0,0.7500,5,32,1.094100
273,33.600,瞬时请求候选,0x752,8,6,6,0,0,0.7750,5,32,1.094100
274,33.400,瞬时请求候选,0x301,8,4,0,不一致,不一致,0.6750,5,33,0.543400
275,33.400,瞬时请求候选,0x301,8,5,1,1,1,0.6750,5,33,0.543400
276,33.400,瞬时请求候选,0x301,8,7,1,0,0,0.6500,5,33,0.543100
277,33.400,瞬时请求候选,0x301,8,7,2,0,0,0.6500,5,33,0.543100
278,33.400,瞬时请求候选,0x324,8,0,2,不一致,不一致,0.5750,5,33,0.837900
279,33.400,瞬时请求候选,0x34A,8,7,4,0,0,0.7500,6,73,0.328350
280,33.400,瞬时请求候选,0x34A,8,7,7,0,0,0.7500,6,73,0.328350
281,33.400,瞬时请求候选,0x352,8,0,1,0,0,0.6667,6,73,0.102250
282,33.400,瞬时请求候选,0x352,8,1,1,0,0,0.6667,6,73,0.102250
283,33.400,瞬时请求候选,0x352,8,1,2,0,0,0.6667,6,73,0.102250
284,33.400,瞬时请求候选,0x352,8,1,3,0,0,0.6667,6,73,0.102250
285,33.400,瞬时请求候选,0x352,8,1,6,0,0,0.6667,6,73,0.102250
286,33.400,瞬时请求候选,0x352,8,2,0,1,1,0.6667,6,73,0.901850
287,33.400,瞬时请求候选,0x352,8,2,3,1,1,0.6667,6,73,0.102250
288,33.400,瞬时请求候选,0x352,8,2,4,1,1,0.6667,6,73,0.102250
289,33.400,瞬时请求候选,0x352,8,2,5,0,0,0.6667,6,73,0.901850
290,33.400,瞬时请求候选,0x352,8,2,6,1,1,0.6667,6,73,0.102250
291,33.400,瞬时请求候选,0x352,8,2,7,1,1,0.6667,6,73,0.102250
292,33.400,瞬时请求候选,0x352,8,3,2,0,0,0.6667,6,73,0.102250
293,33.400,瞬时请求候选,0x352,8,3,6,0,0,0.6667,6,73,0.102250
294,33.400,瞬时请求候选,0x352,8,4,0,0,0,0.6667,6,73,0.102250
295,33.400,瞬时请求候选,0x352,8,4,1,1,1,0.6667,6,73,0.102250
296,33.400,瞬时请求候选,0x352,8,4,3,1,1,0.6667,6,73,0.102250
297,33.400,瞬时请求候选,0x352,8,4,4,1,1,0.6667,6,73,0.102250
298,33.400,瞬时请求候选,0x352,8,4,5,1,1,0.6667,6,73,0.102250
299,33.400,瞬时请求候选,0x352,8,4,6,1,1,0.6667,6,73,0.102250
300,33.400,瞬时请求候选,0x352,8,5,0,1,1,0.6667,6,73,0.102250
301,33.400,瞬时请求候选,0x352,8,5,2,1,1,0.6667,6,73,0.102250
302,33.400,瞬时请求候选,0x352,8,5,3,0,0,0.6667,6,73,0.102250
303,33.400,瞬时请求候选,0x352,8,5,6,0,0,0.6667,6,73,0.102250
304,33.400,瞬时请求候选,0x352,8,6,1,0,0,0.6667,6,73,0.901850
305,33.400,瞬时请求候选,0x352,8,6,2,1,1,0.6667,6,73,0.102250
