profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
generic-event,事件附近变化,71.540,0x3E2,3,7,VCLEFT_lightStatus,11.554966828372823,1.0,2,2,3,7,1.7913039061969693
window,按钮事件:手动未知方向松开,71.540,0x3E2,3,7,VCLEFT_lightStatus,11.554966828372823,1.0,2,2,3,7,1.7913039061969693
generic-event,事件附近变化,71.540,0x3E2,4,0,VCLEFT_lightStatus,11.554966828372823,1.0,2,2,3,7,1.7913039061969693
window,按钮事件:手动未知方向松开,71.540,0x3E2,4,0,VCLEFT_lightStatus,11.554966828372823,1.0,2,2,3,7,1.7913039061969693
generic-event,事件附近变化,71.540,0x3E2,4,1,VCLEFT_lightStatus,11.554966828372823,1.0,2,2,3,7,1.7913039061969693
window,按钮事件:手动未知方向松开,71.540,0x3E2,4,1,VCLEFT_lightStatus,11.554966828372823,1.0,2,2,3,7,1.7913039061969693
generic-event,事件附近变化,71.540,0x3E2,4,2,VCLEFT_lightStatus,11.554966828372823,1.0,2,2,3,7,1.7913039061969693
window,按钮事件:手动未知方向松开,71.540,0x3E2,4,2,VCLEFT_lightStatus,11.554966828372823,1.0,2,2,3,7,1.7913039061969693
generic-event,事件附近变化,71.540,0x3E2,4,3,VCLEFT_lightStatus,11.554966828372823,1.0,2,2,3,7,1.7913039061969693
window,按钮事件:手动未知方向松开,71.540,0x3E2,4,3,VCLEFT_lightStatus,11.554966828372823,1.0,2,2,3,7,1.7913039061969693
generic-event,事件附近变化,71.352,0x126,2,0,DI_hvBusStatus,4.150703017457484,1.0,2,2,16,120,4.5521730529896995
window,按钮事件:手动未知方向松开,71.352,0x126,2,0,DI_hvBusStatus,4.150703017457484,1.0,2,2,16,120,4.5521730529896995
generic-event,事件附近变化,71.291,0x1D8,2,6,DIS_torque,4.094391957106865,1.0,2,2,122,934,15.081283972552301
window,按钮事件:手动未知方向松开,71.291,0x1D8,2,6,DIS_torque,4.094391957106865,1.0,2,2,122,934,15.081283972552301
generic-event,事件附近变化,71.018,0x373,3,0,EPAS3P_sysStatus,4.651049196412693,1.0,2,2,4,26,2.045465792487671
window,按钮事件:手动未知方向松开,71.018,0x373,3,0,EPAS3P_sysStatus,4.651049196412693,1.0,2,2,4,26,2.045465792487671
generic-event,事件附近变化,71.006,0x118,7,0,DI_systemStatus,3.8586199443389595,1.0,2,2,45,365,7.451456067965397
window,按钮事件:手动未知方向松开,71.006,0x118,7,0,DI_systemStatus,3.8586199443389595,1.0,2,2,45,365,7.451456067965397
generic-event,事件附近变化,70.970,0x108,0,7,DI_torque,4.03817731042481,1.0,2,2,22,170,5.125117202552495
window,按钮事件:手动未知方向松开,70.970,0x108,0,7,DI_torque,4.03817731042481,1.0,2,2,22,170,5.125117202552495
generic-event,事件附近变化,70.958,0x344,1,2,,8.822755505543206,1.0,2,2,2,6,1.5303350554092234
window,按钮事件:手动未知方向松开,70.958,0x344,1,2,,8.822755505543206,1.0,2,2,2,6,1.5303350554092234
